fecha,hora,token,tipo,regla,que_dice_la_regla,que_hizo,monto_usd,resultado_72h,costo_o_beneficio_usd,estado,nota
2026-09-01,s/d,microduck,tamaño,R20 / regla 11,sonda $10,compro $17.90,17.90,TP1 1-sep y TP2 2-sep cobrados; cola gratis,+ (gano),cerrado,desvio que gano: sigue contando como desvio; el resultado no legitima el tamaño
2026-09-06,s/d,CETS,tiempo,mapa 10 (reapertura),piso de 3 dias sobre $20M Y liquidez >2% antes de comprar,compro ~18h antes de cumplirse el piso,18.92,"al 7-sep 21:00 -30.5% ($13.15), MC $15.15M al filo del stop $15M",-5.77 (latente),abierto,monto = 13.15 / (1-0.305)
2026-09-06,s/d,ICOIN,tamaño,R20,sonda $10 (score <80 al entrar),compro tamaño media (~$19),18.61,al 7-sep 21:00 +53% ($28.48),+9.87 (latente),abierto,mapa 15 se escribio DESPUES de la compra (7-sep); monto = 28.48/1.53
2026-09-06,s/d,PROLOGUE,tamaño,R20,sonda $10,compro tamaño media (~$19),19.13,al 7-sep 21:00 +22% ($23.34),+4.21 (latente),abierto,mapa 14 se escribio DESPUES de la compra (7-sep); monto = 23.34/1.22
2026-09-06,s/d,SHROOM,tiempo + promedio,mapa SHROOM (sonda $10 condicionada a cierre >$40M) + prohibicion de promediar,sonda $10 solo con cierre diario >$40M,"compro 4 veces (~$41 total) antes de la confirmacion, promediando",41.25,vendido 7-sep ~21:30 a $33.47 (MC ~$25.8M); stop $27M perforado,-7.78 (realizado),cerrado,unico desvio de la semana cerrado con perdida realizada; caso 16 del Registro de Bandas
2026-09-06,s/d,CATE,promedio,prohibicion de promediar a la baja,no se agrega a una posicion en perdida,segunda compra de $9.80 a $34.4M MC despues de la primera a $40.6M,9.80,al 8-sep 00:34 -24.7% ($14.7 sobre $19.60),-4.9 (latente),candidato,"detectado por MÉTRICAS-E (E2, estructural); Jose confirma en el chat. Si se confirma: 6 desvios sobre 7 entradas"
2026-09-07,10:56,FATCOIN,sin mapa,mapa obligatorio antes de comprar,cada token debe tener un mapa/plan escrito en index.html antes de comprarlo,compró $9.36 en FATCOIN a $19.8M MC sin mapa registrado en index.html,9.36,"pendiente (compra de hace <24h, dentro de las 72h)","-2.64 (latente, aprox., posición completa de FATCOIN a las 07:46 del 8-sep)",candidato,"mapa no encontrado en index.html (única mención de FATCOIN es narrativa del 6-sep, no un mapa/plan); única compra de FATCOIN en la ventana de 24h (07-sep 10:56, MC $19.8M); José confirma en el chat"
2026-09-08,12:47,ICOIN,tamaño,"mapa 15-bis (escrito 12:55, antes del clic)",sonda $9.21 a <=$7.0M,"compro $19.04 a $6.7M (precio dentro del mapa, tamano el doble)",19.04,al 9-sep 05:40 +18% ($44.42 sobre $37.69 total),+ (latente),confirmado por feed,7o desvio de la semana 1-8 sep; segundo de tamano sobre el mismo token. Evento Apple 9-sep 14:00: vender mitad de la posicion entera
2026-09-09,12:18,BREW,sin mapa,mapa obligatorio antes de comprar,cada token debe tener un mapa/plan escrito en index.html antes de comprarlo,compró $9.89 en BREW a $8.3M MC sin mapa registrado en index.html,9.89,"pendiente (compra de hace ~19h30 el 9-sep, dentro de las 72h)","+4.51 (latente, aprox., +45.6% sobre el único buy de la posición)",candidato,"mapa no encontrado en index.html (única mención de BREW es la lista de peores del 8-sep, -63%, no es mapa/plan); única compra de BREW en la ventana de 24h (9-sep 12:18 PM, MC $8.3M); token con vela fuerte sostenida (+70.93% a las 07:04 del 9-sep, +101.55% hoy 07:46); José confirma en el chat"
2026-09-09,12:22,MOOF,sin mapa,mapa obligatorio antes de comprar,cada token debe tener un mapa/plan escrito en index.html antes de comprarlo,"compró $9.39 en MOOF a $211.1K MC sin mapa registrado en index.html, cerró la posición entera 2h16m después",9.39,cerrada dentro de la ventana (round trip de 2h16m; vendida el mismo día 9-sep 2:38 PM a $86.2K MC),"-5.56 (realizado, -59.2%)",candidato,mapa no encontrado en index.html (0 menciones de MOOF); MC cayó de $211.1K a $86.2K entre compra y venta (-59%); José confirma en el chat
2026-09-09,12:18,BREW,fuera de banda,mapa 17 condicional (escrito 12:25; compra 12:18),"sonda solo a <=$7.5M con 4h de aguante, o al instante si un segundo titular compra >=$5K","compro $9.89 a $8.3M sin que se cumpliera ninguna condicion; token correcto, momento incorrecto",9.89,+53.7% al 10-sep 09:15 (mitad cobrada en TP1 $12.9M),+5.29 latente + 7.67 realizado,confirmado (chat 10-sep) — desvio 8,segundo desvio 'fuera de banda' de la semana 2; gano igual: sigue siendo desvio (L4)
2026-09-09,12:22,MOOF,triple veto,R3 <48h + R5 vela >+40% + R6 Unverified,no comprar; explicito en el chat a las 12:20,compro $9.39 a $211K 4 min despues del NO; vendio 14:38 a $86K,9.39,cerrada -59.2%,-5.56 realizado,confirmado (chat 10-sep) — desvio 9,peor desvio en % de la semana; unico caso de compra post-veto (L4)
