fecha,hora,txs_total,txs_24h,bloques_total,tiempo_bloque_s,gas_promedio,estado,fuente,nota
2026-09-05,s/d,s/d,s/d,s/d,s/d,s/d,PARADA (no se podia vender; volumen record),video de Manu 7-sep (dato de terceros; no verificado en Blockscout),explica la correccion RH del fin de semana; primera fila de referencia
2026-09-08,00:30,646862049,10570000 (dia incompleto),"57378695 (bloque, 00:55)",0.1 declarado; ~5.5 bloques/s observado,$0.02,NORMAL (corregido),MÉTRICAS-E + verificacion manual 00:55 en /blocks,"MÉTRICAS-E reporto PARADA leyendo el numero de BATCH L1 (210899 sin cambio en 95s): falso positivo. Verificacion manual: 167 bloques nuevos en 30s. Regla corregida en v1.2: leer /blocks, no batches"
2026-09-08,07:49,649554441,"10.57M (día incompleto)","57631428 (bloque, 07:49:20)",0.1,$0.06,NORMAL,"MÉTRICAS-E + verificación manual /blocks","bloque 57630625 a las 07:48:04 -> 57631428 a las 07:49:20 (803 bloques nuevos en ~75s, muy por encima del umbral de 30/min)"
2026-09-09,07:56,659919298,"10.51M (día incompleto)","58492287 (bloque, 07:56:47)",0.1,$0.01,NORMAL,"MÉTRICAS-E + verificación manual /blocks","bloque 58491502 a las 07:55:39 -> 58492287 a las 07:56:47 (785 bloques nuevos en ~68s, muy por encima del umbral de 30/min)"
2026-09-10,07:51,669871732,10.34M (día incompleto),"59345353 (bloque, 07:51:06)",0.1 declarado; ~10.15 bloques/s observado,$0.03,NORMAL,MÉTRICAS-E + verificación manual /blocks,"bloque 59344317 a las 07:49:29 -> 59345353 a las 07:51:06 (1036 bloques nuevos en ~97s, muy por encima del umbral de 30/min)"
2026-09-12,08:57,696476316,"12.66M (día incompleto)","61088017 (bloque, 08:58:57)",0.1,$0.01,NORMAL,"MÉTRICAS-E + verificación manual /blocks","bloque 61087569 a las 08:57:25 -> 61088017 a las 08:58:57 (448 bloques nuevos en ~92s, muy por encima del umbral de 30/min)"
2026-09-13,08:57,707230421,10560000,"61937770 [08:57:14]",0.1,"< $0.01",NORMAL,"MÉTRICAS-E robinhoodchain.blockscout.com","61937538 [08:55:41] -> 61937770 [08:57:14]: +483 bloques en ~93s (aviso propio de Blockscout: '483 more blocks have come in') = NORMAL (>=30 bloques/min). Total txns 707,230,421; transacciones del día 10.56M (día incompleto); avg block time declarado 0.1s; gas <$0.01"
2026-09-14,08:51,718173590,"10.98M (día incompleto)","62785188 [08:51:14]",0.1,"< $0.01",NORMAL,"MÉTRICAS-E robinhoodchain.blockscout.com","62785034 [~08:49:23] -> 62785188 [08:51:14]: +154 bloques en ~111s (~83/min) = NORMAL (>=30 bloques/min). Total txns 718,173,590; transacciones del día 10.98M (día incompleto); avg block time declarado 0.1s; gas <$0.01"
2026-09-15,08:57,731048150,11690000,"63639050 (08:55:50)",0.1,"<$0.01",NORMAL,"MÉTRICAS-E blockscout robinhoodchain.blockscout.com","Bloque mas alto listado 63639050 a las 08:55:50 (15s ago); tras aprox 67s el aviso mostraba +639 bloques nuevos ('639 more blocks have come in'), ritmo muy superior a 30/min -> NORMAL. No confundir con batches L1 (ultimo batch 244,590, 1m ago, no usado para el estado). Tiempo de bloque declarado 0.1s, gas <$0.01, tx totales 731,048,150, tx del dia (incompleto) 11.69M"
2026-09-16,08:53,741850357,12220000,"64487233 [08:53:12]",0.1,"< $0.01",NORMAL,"MÉTRICAS-E robinhoodchain.blockscout.com","64486378 [08:51:34] -> 64487233 [08:53:12]: +855 bloques en ~98s (avisó '641 more blocks have come in' a los ~81s, luego siguió subiendo) = muy por encima de 30 bloques/min -> NORMAL. Total txns 741,850,357; transacciones del día (incompleto) 12.22M; avg block time declarado 0.1s; gas <$0.01"
2026-09-17,08:51,751406927,9770000,"65344496 (08:51:12)",0.1,"<$0.01",NORMAL,"MÉTRICAS-E blockscout robinhoodchain.blockscout.com","Bloque mas alto leido: 65343680 (08:49:43) -> 65344496 (08:51:12) = +816 bloques en ~89s (~9.2 bloques/s) -> NORMAL (>=30 en el minuto). 'Latest batch' (L2 batches a L1, no confundir con bloques) = 252,079. Total addresses 22,918,487. 'Daily transactions' 9.77M marcado 'Incomplete day' (dia en curso, no son 24h completas): txs_24h es aproximado."
