id,fecha,origen,caso,leccion,evidencia,enmienda_propuesta,regla_afectada,metrica_validacion,umbral,estado,vence,resultado,nota
L1,2026-09-10,autopsia,ICOIN/Apple 9-sep; USELESS/Bithumb 8-9 sep; SPCX lockup 9-sep (Manu vendio SPACEHOOD),"El catalizador con fecha se vende ANTES del catalizador, no en el catalizador. La atencion se compra los dias previos y se vende en la hora del evento.","ICOIN: +23% 4H hasta 12:05 ($7.6M), -45% entre 14:00 y 16:48 ($3.6M). USELESS -22% tras listar en Bithumb. SPACEHOOD: Manu vendio $4.6K a las 15:12 del dia del lockup.","Bandera D v2: si una posicion tiene evento con fecha, se vende la MITAD 24h antes del evento (o al primer toque de TP1 si llega antes) y NUNCA se atraviesa el evento con la posicion entera. El calendario-acciones.csv es el disparador; E7 avisa 'VENDER MITAD MANANA'.",R (bandera D) + mapa (TP por evento),% de casos con evento en que el MC 24h antes > MC al cierre del dia del evento,3 de los proximos 4 eventos con fecha,en prueba,2026-10-05,,
L2,2026-09-10,desvio,ICOIN 8-sep $19.04 (sonda x2); PROLOGUE 6-sep $19.16; microduck; SHROOM,El tamano se rompe en el segundo clic: 5 de 9 desvios en 10 dias son de tamano y todos fueron 'el doble de la sonda'.,"desvios.csv: tamano = microduck, ICOIN x2, PROLOGUE, SHROOM.","Regla 'un clic, una sonda': la sonda es UN solo boton $10 de fomo (o $9-10 manual). Jamas dos clics seguidos sobre el mismo token el mismo dia. Segunda compra solo por mapa escrito con banda nueva y con avg. entry de la ballena a favor.",R20 (tamanos),desvios de tipo 'tamano' por semana,0 en 2 semanas seguidas,en prueba,2026-09-27,,
L3,2026-09-10,salida,Stops 8-sep ejecutados 05:36-05:41 del 9-sep (8.5h tarde); mitad ICOIN 9-sep no ejecutada; stops 10-sep ejecutados 09:15 (a tiempo),Una orden con hora sin alerta no es una orden. Cuando hubo alerta/decision previa (10-sep) la ejecucion fue en 5 minutos.,CETS y FATCOIN vendidos 12-13% bajo el stop por la demora; ICOIN mitad no vendida a $7.6M y cerrada entera a $3.6M.,"Mapa incompleto = mapa sin alerta. Cada mapa lleva la linea 'ALERTAS: stop $X, TP1 $Y — puestas [hora]' y Jose confirma en el chat 'alerta puesta' antes de que el mapa cuente como vigente. Los cierres 21:00 se leen a las 21:00-21:30 (no a las 05:40).","R (stops por cierre), protocolo de mapas",latencia entre perforacion del stop al cierre y ejecucion,mediana < 60 min en los proximos 3 stops,en prueba,2026-10-05,,
L4,2026-09-10,desvio,"BREW 9-sep 12:18 (fuera de banda, mapa 17 aun no escrito); MOOF 9-sep 12:22 (4 min despues de un NO con triple veto, -59% en 2h)","La compra impulsiva ocurre en los 30 minutos posteriores a un NO o a un mapa condicional, cuando el token se mueve. El 'no' en el chat no frena; el mapa escrito si (ICOIN 15-bis se pidio antes de comprar).",MOOF: unico caso de compra post-veto; peor % de la semana. BREW: compra correcta de token pero fuera de la condicion.,"Regla de los 30 minutos: tras un NO o un mapa condicional no cumplido, no se compra ese token ni ningun otro sin mapa durante 30 min. Toda sonda se anuncia en el chat ANTES ('voy a comprar X') y se compra solo con el mapa numerado en pantalla.",protocolo de mapas (R 'mapa antes que compra'),compras sin mapa vigente por semana,0 en 2 semanas seguidas,en prueba,2026-09-27,,
L5,2026-09-10,autopsia,"PROLOGUE (3 titulares enteros, 12 dias sin compra, stop perforado); ICOIN (DCE compro DESPUES de la venta de Jose, a $4.2M, 20 min despues)","Titular quieto no es senal. Solo la compra de mercado reciente cuenta; una posicion vieja sin compras es inercia, y el titular con avg 40% mas bajo puede comprar donde vos tenes que vender.",PROLOGUE: inyourwalls/DCE/soby0x sin operar desde 30-ago; cerro bajo stop igual. ICOIN: DCE avg $3.9M vs Jose $5.1M.,Token Score B-Ballenas v2: puntua SOLO compras de mercado de titulares en los ultimos 7 dias (25 pts) + cero ventas (10 pts). Posicion vieja sin compras en 7 dias = maximo 10/35. Un titular con avg. entry <60% del MC actual no cuenta como 'soporte' para nuestro stop.,Token Score bloque B,score B de las entradas que terminan en stop vs las que tocan TP1,B>=25 en TP1 y B<=15 en stops en 4 de 5 casos,en prueba,2026-10-05,,
L6,2026-09-10,salida,"CETS, FATCOIN, microduck (9-sep), SHROOM (7-sep), PENGU (6-sep): 5 salidas, 5 buenas a 72h. FATCOIN toco $19.3M (+31%) y 4h despues $10.8M.",Los stops por cierre y el 'no re-entrar en 72h' funcionan. La plata en la mesa que aparece intradia no es real hasta el cierre.,"salidas.csv + E8 10-sep: CETS $10M, FATCOIN $11.3M, microduck $9.6M, SHROOM $18.4M, PENGU $607M, todas bajo el nivel de salida.",Ninguna. Se VALIDA la regla actual (stop por cierre + 72h sin re-entrada). Se agrega al Testamento como regla confirmada con n=5.,"R16/R33 (stops), regla 72h",calidad de salida a 72h,mantener >=80% buenas,validada,,5/5 buenas,
L7,2026-09-10,autopsia,"Manu -11% el 9-sep, cash $23, 7 promedios a la baja; unipcs cash a la mitad, 100% vendedor; ether_monk BREW escalera al alza $7.1M->$14M (+50%) vs FATCOIN escalera a la baja (-33%)","El espejo vale solo cuando la ballena escala AL ALZA con plata de mercado. Escalera a la baja del titular = su dolor, no nuestra entrada. Manu full invertido y promediando no es espejo, es ruido.","BREW (alza) +50% para ether_monk; FATCOIN, Sue, Max, UPONLY (baja) -30 a -49%.","Metodo espejo v2: se copia una compra de titular solo si (a) es de mercado, (b) el MC de la compra es >= su avg. entry (escalera al alza) y (c) hay al menos 2 compras en 48h. Escalera a la baja = observacion, nunca sonda.","metodo espejo, Token Score B",resultado a 7 dias de las entradas de titular: al alza vs a la baja,alza > baja en 4 de 5 pares,en prueba,2026-10-05,,
L8,2026-09-10,flota,E corrio 2 dias sin flujos-D (D guarda ~3h despues de leer); Graduated vacia 9 dias; Bloque del Dia inexistente/viejo 2 dias; Friends-only quedo destildado,La flota se degrada en silencio si nadie mide sus huecos. Dependencias implicitas (E lee D) y secciones con nombre no literal rompen la lectura.,metricas-E 9 y 10-sep: 'flujos-D ausente'. fomo-A 9 y 10-sep: Bloque del Dia no encontrado/viejo.,(1) MÉTRICAS-E se mueve a 11:00 o deja de depender de D; (2) A4 reemplaza Graduated por filtro de edad 2-7 dias sobre Trending; (3) el dash publica cada dia una seccion literal 'Bloque del Dia — [fecha]' antes de las 06:30 o la flota usa el anterior y lo marca; (4) todo prompt que destilde un filtro lo vuelve a dejar como estaba.,"prompts A/E, rutina del dash",dias con 's/d' por insumo ausente en E,0 en 5 corridas seguidas,en prueba,2026-09-20,,
L9,2026-09-10,salida,CATE TP1 $59.5M y BREW TP1 $13.3M cobrados al primer toque el 10-sep 09:15 con CPI a 24h,Cobrar TP1 al primer toque cuando hay evento binario <48h es correcto; el resto queda con stop en breakeven y sin riesgo.,CATE vendida mitad $16.17 a $61.4M; BREW mitad $7.67 a $12.9M.,"Aclaracion de regla: TP1 se cobra al PRIMER toque; 'segunda aproximacion' aplica a TP2 y a entradas, no a TP1.",R15 (TP1),MC a 72h de las mitades vendidas vs nivel de TP1,-,observacion,2026-09-13,,
L10,2026-09-10,omision,"17 NO/condicionales del 8-10 sep medidos a 72h en omisiones.csv: 11 correctos, 1 omision real (BREW), 3 chicas (STONK, UBIK, CATE+), 2 pendientes",El sistema medía solo los errores de comisión (desvios.csv); las omisiones no se contaban y por eso 'perder entradas' no dolía en ningún número. Tomar TODOS los NO con sonda habría dado -$9.35; el filtro gana plata pero no enseña nada.,"omisiones.csv 10-sep: sonda hipotética $9.40 en cada NO, stop -25%, TP1 1.6x.","Instrumento 13: omisiones.csv (append-only). Cada NO, veto o mapa condicional no disparado deja fila con MC al NO; MÉTRICAS-E completa max/72h y veredicto a las 72h. Métrica semanal: omisiones reales (TP1 perdido) vs desvíos; el checkpoint muestra los dos lados.",instrumentos / checkpoint,omisiones reales por semana vs NO correctos,reportar ambas; alarma si omisiones reales >= 2/semana,en prueba,2026-10-05,,
L11,2026-09-10,omision,BREW 9-sep: mapa 17 pedía retroceso a <=$7.5M (avg de ether_monk) mientras él compraba a $9.4M y luego $14M; el retroceso nunca llegó y el token hizo +73% en 24h,"Cuando el titular escala AL ALZA con compras de mercado, el token no da pullback: pedir banda/asentamiento es pedir que la señal desaparezca. La entrada correcta es de tendencia (R33), a mercado, con stop -25%, no de banda.",BREW: $8.1M al NO -> $14M max; UBIK 8-sep $18.5M -> $26.5M; STONK $134M -> $181M. Ninguna dio el retroceso pedido.,"Sonda de tendencia (usa R33, que existía y no se usaba): si un titular hizo >=2 compras de mercado en 48h con MC >= su avg. entry (L7) y el score es >=65 con estructura limpia (verificado, >48h, liq >1.5%, top10 <35%), la sonda ($9.40) entra A MERCADO con stop -25% por cierre y TP1 1.6x, sin esperar banda. La banda/asentamiento queda para media y plena.","R33, protocolo de mapas (bandas), Token Score umbral",tasa de TP1 de sondas de tendencia vs sondas de banda,TP1 >=40% en las de tendencia (n>=5),en prueba,2026-10-12,,
